3.46533415758315e-10,1.03050304942183,1.59049166469643e-25,9.57683319068907e-26
6.93066831516631e-10,1.48555295355861,1.8322416476968e-25,1.21976923239026e-25
1.03960024727495e-09,1.75460230432647,1.70521467000637e-25,1.16428074272759e-25
1.38613366303326e-09,2.03865347067974,1.56638082721091e-25,1.08428783150617e-25
1.73266707879158e-09,2.43464129680501,1.51624781008213e-25,1.08226900284665e-25
2.07920049454989e-09,2.84946973606237,1.43401004361819e-25,1.03799851075578e-25
2.42573391030821e-09,3.34959122206688,1.37781284727071e-25,1.00489772646672e-25
2.77226732606652e-09,3.94114503607722,1.34140521083919e-25,9.83003036394772e-26
3.11880074182484e-09,4.5746912921473,1.28818878165508e-25,9.33202717098933e-26
3.46533415758315e-09,5.33330298491363,1.26322521038514e-25,9.0863339228303e-26
3.81186757334147e-09,6.18355902370883,1.2405753250729e-25,8.80439868251409e-26
4.15840098909978e-09,7.11489015598101,1.2140422030101e-25,8.40813511941823e-26
4.5049344048581e-09,8.1861491997541,1.2031063335663e-25,8.18266427052915e-26
4.85146782061642e-09,9.36244690949865,1.19112509589419e-25,7.90057885416124e-26
5.19800123637473e-09,10.6586822328341,1.18101802244917e-25,7.60807544696216e-26
5.54453465213305e-09,12.1070581983463,1.17847385911291e-25,7.40871098193972e-26
5.89106806789136e-09,13.6778234224317,1.17420509892691e-25,7.15455568273771e-26
6.23760148364968e-09,15.4023733489673,1.17339473090297e-25,6.93700032252276e-26
6.58413489940799e-09,17.2937996947169,1.17631983721889e-25,6.76954435076435e-26
6.93066831516631e-09,19.3248599084078,1.177338649191e-25,6.55026906414298e-26
7.27720173092462e-09,21.5397839832643,1.1819584439945e-25,6.38662315392256e-26
7.62373514668294e-09,23.9368619084647,1.18840948351613e-25,6.2488498644024e-26
7.97026856244125e-09,26.4899567479658,1.19301395909761e-25,6.06339341771421e-26
8.31680197819957e-09,29.2533971021922,1.2008829616352e-25,5.93866949785962e-26
8.66333539395788e-09,32.2137541149355,1.2096115654705e-25,5.82625089534578e-26
9.0098688097162e-09,35.3449677530798,1.21665778544044e-25,5.67095637671028e-26
9.35640222547452e-09,38.7093777181151,1.2265010619736e-25,5.57455202937304e-26
9.70293564123283e-09,42.2822837601255,1.23659596017175e-25,5.48053881599181e-26
1.00494690569911e-08,46.0444607679823,1.24554134269194e-25,5.35653022943545e-26
1.03960024727495e-08,50.053250663845,1.25648281325007e-25,5.27824195576697e-26
1.07425358885078e-08,54.2829490035111,1.26751557833542e-25,5.20066364925102e-26
1.10890693042661e-08,58.7160043079869,1.27767530908767e-25,5.10032671298452e-26
1.14356027200244e-08,63.4069076072213,1.28932464952849e-25,5.03670479752092e-26
1.17821361357827e-08,68.3295496498029,1.30100859615738e-25,4.97368612683685e-26
1.2128669551541e-08,73.4643753131765,1.31193519367177e-25,4.89115650997526e-26
1.24752029672994e-08,78.8667514783841,1.32404038290636e-25,4.83957764486523e-26
1.28217363830577e-08,84.5096794531547,1.33617920204876e-25,4.7893679677766e-26
1.3168269798816e-08,90.3682617938651,1.34758176312657e-25,4.72033414697451e-26
1.35148032145743e-08,96.5024089912016,1.35997477005632e-25,4.67868519440955e-26
1.38613366303326e-08,102.883815974004,1.37242045070069e-25,4.63940723802777e-26
1.42078700460909e-08,109.480163102579,1.38413082486285e-25,4.5813250683452e-26
1.45544034618492e-08,116.357038615108,1.3966859500159e-25,4.54756565606326e-26
1.49009368776076e-08,123.483668600476,1.40928081256081e-25,4.51614035960592e-26
1.52474702933659e-08,130.828636221601,1.42129654397781e-25,4.47012136593372e-26
1.55940037091242e-08,138.447889604549,1.43387349582902e-25,4.44109002411856e-26
1.59405371248825e-08,146.320160418924,1.4465483061524e-25,4.41621457846294e-26
1.62870705406408e-08,154.412867184379,1.45879096718321e-25,4.38076073276791e-26
1.66336039563991e-08,162.767953943707,1.47133130308179e-25,4.35515623981762e-26
1.69801373721575e-08,171.378247926697,1.48403939507595e-25,4.33577997448542e-26
1.73266707879158e-08,180.211043354231,1.49645407244762e-25,4.30966852277894e-26
1.76732042036741e-08,189.287462188705,1.50891810388938e-25,4.28646052062e-26
1.80197376194324e-08,198.621505207071,1.52162722646418e-25,4.27172476026302e-26
1.83662710351907e-08,208.18024540025,1.53417665121993e-25,4.2539618323016e-26
1.8712804450949e-08,217.956755047936,1.5465363391813e-25,4.23231476666852e-26
1.90593378667073e-08,227.993936353382,1.55922492959916e-25,4.221515642019e-26
1.94058712824657e-08,238.259076125224,1.57188428045922e-25,4.21129205070118e-26
1.9752404698224e-08,248.708576813539,1.58411918959827e-25,4.19051446409642e-26
2.00989381139823e-08,259.423088752886,1.59677279656483e-25,4.18306871436933e-26
2.04454715297406e-08,270.357412278525,1.60940932149601e-25,4.17647110526724e-26
2.07920049454989e-08,281.473867785118,1.62173640319407e-25,4.16252506492909e-26
2.11385383612572e-08,292.822261490172,1.63423065699101e-25,4.15465682382151e-26
2.14850717770156e-08,304.392807587049,1.64682122554592e-25,4.15080443548116e-26
2.18316051927739e-08,316.150374884337,1.65925707021733e-25,4.1438820482012e-26
2.21781386085322e-08,328.093426500227,1.67157179285129e-25,4.13483478929501e-26
2.25246720242905e-08,340.265593992725,1.6841112297723e-25,4.1333353318024e-26
2.28712054400488e-08,352.630807073424,1.69663109949086e-25,4.13243402344033e-26
2.32177388558071e-08,365.132572468836,1.70879606668137e-25,4.12286751146081e-26
2.35642722715654e-08,377.866565924958,1.72126430176549e-25,4.12290333834064e-26
2.39108056873238e-08,390.783621859298,1.73372992073573e-25,4.12393608846665e-26
